"new_id","Date","Year","dhw_max","parrot","macro","ssta_freq_sd","temp_max","depth","exposure_fac","cyclone_mag","turbidity","urchin_sum_all"
252,"2002-06-11",2002,4.1899999063462,1.25,0,1.4175,304.5525,10,0,45.117132,NA,0
256,"2002-09-09",2002,4.73999989405274,4.25,0.08125,1.44,305.14,6,0,41.400476,NA,0
257,"2004-06-15",2004,0.859999980777502,1.5,0,1.25,305.11,1,0,41.400476,0.053748534,0
258,"2002-11-04",2002,4.76999989338219,8,0.01875,1.25,305.11,1.5,0,41.400476,NA,0
261,"2002-05-31",2002,4.1899999063462,1.25,0,1.4175,304.5525,5,0,45.117132,NA,0
262,"2002-06-20",2002,3.81999991461635,0.25,0,1.39,304.42,5,0,45.117132,NA,0
263,"2002-06-20",2002,3.81999991461635,2.5,0,1.39,304.42,10,0,45.117132,NA,0
265,"2002-06-10",2002,3.67999991774559,0.5,0.025,1.4175,304.5525,5,0,45.117132,NA,0
266,"2002-06-10",2002,3.67999991774559,1.5,0,1.4175,304.5525,10,0,45.117132,NA,0
268,"2002-06-22",2002,4.00999991036952,2.5,0.06875,1.4175,304.5525,5,0,45.117132,NA,0
269,"2002-06-22",2002,4.00999991036952,1.75,0.0625,1.4175,304.5525,10,0,45.117132,NA,0
271,"2004-01-22",2004,0.159999996423721,7.75,0.0375,0.99,304.19,12,1,46.245505,0.043299127,0
274,"2008-05-31",2008,0.439999990165234,NA,0.0125,1.36,305.41,5,0,48.101199,NA,NA
293,"2003-03-29",2003,1.75999996066093,NA,0.14375,1.26,306.2,5,0,60.006281,NA,2.25
297,"2016-04-17",2016,6.20999986119568,NA,0,1.46,305.7,5,0,60.006281,NA,0
297,"2015-09-13",2015,1.61999996379018,NA,0,1.46,305.7,5,0,60.006281,0.036799999,2.5
312,"2009-03-21",2009,1.64999996311963,NA,0,1.53,306.36,5,0,50.97347,0.142240003,0
315,"2008-03-01",2008,0,NA,0.00625,1.53,306.36,5,0,50.97347,0.187849,0
315,"2009-03-14",2009,1.64999996311963,0,0.00625,1.53,306.36,5,0,50.97347,0.142240003,0
315,"2010-02-03",2010,1.64999996311963,2.25,0.00625,1.53,306.36,5,0,50.97347,0.043022669,0
326,"2004-02-12",2004,0.829999981448054,NA,0.23125,1.51,306.1,5,0,48.79868,0.070164002,0
326,"2009-03-01",2009,1.13999997451901,0,0,1.51,306.1,5,0,48.79868,0.096692003,0
329,"2009-03-01",2009,1.13999997451901,0,0.0375,1.51,306.1,5,0,48.79868,0.096692003,0
329,"2010-02-06",2010,1.13999997451901,NA,0.0125,1.51,306.1,5,0,48.79868,0.103359997,0
334,"2002-03-28",2002,3.70999991707504,4.75,0.04375,1.49,304.47,5,0,46.653922,NA,0
335,"2003-01-16",2003,3.70999991707504,NA,0.0875,1.49,304.47,5,0,46.653922,NA,NA
340,"2002-03-27",2002,3.06999993138015,NA,0,1.33,305.58,5,0,48.773928,NA,0
340,"2003-01-12",2003,3.06999993138015,NA,0.04375,1.33,305.58,5,0,48.773928,NA,NA
